"難易度","曲名","譜面種別","レベル","1位でらっくスコア","理論値","理論値比率","DXスター","プレイヤー","達成日時","ランキング更新日時","詳細URL","取得状況"
"MASTER","QZKago Requiem","STANDARD","14+","3292","3315","99.3062%","5","ＲｅＭｉＲｉＡ","2025/07/10 12:37","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=d908745e5553ca7d57fc7ead12d15cd623b6119bac362b270e228eed0630ba3338c95eaa1e343b5b0e076b4f8bae4aebbc8b26de69073fa6b1b1d9a20b2bd10fQ50UnOu%2B1hkA2fw5Oe8asRgHZnPThpDBEv1m2FaFOW8%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","ℝ∈Χ LUNATiCA","DX","14+","3276","3309","99.0027%","5","ＲｅＭｉＲｉＡ","2024/08/03 21:32","2026/08/24 21:15","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=1a264f9d0b1fb7688bf1495b9c0f1a31fbef940b774d1d914041721e973e07ab1626f058c1e472ee7fe609613a8a9830038ec59df4789ef83abd493636cdc346CUR6RjaAyJ5D5BiBqytRoU%2Ff%2BMhO0xZYGzHK0dEJjtQ%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","raputa","DX","14+","3887","3948","98.4549%","5","ＲｅＭｉＲｉＡ","2025/06/16 12:50","2026/08/24 21:15","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=c62be98f240b1fa577ae8ef5c58ceb834e5750d5e7e6a73a5828605a8c5dbc55422916836db56bd316ee7a34f3d1910b3d7fe09660b0a2bbc4b8c63770f3bb12cjujx63SPsU6IHXAa%2FbN6hOK%2B7AWbKmE0BHztfH6RHU%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","Re:Unknown X","DX","14+","3532","3567","99.0188%","5","ＲｅＭｉＲｉＡ","2025/04/25 20:56","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=d4453a39b8d75adda9eb669c3083a54d05b551d76da8c95c54eec206d41814341089fccd54a9255ba148168e40bb679bdd1a3ab47e32a1658ee17f9a36e32137%2B3xpMg1dzvtJ5XeonxUq3RnUE%2BSErtbJBcc7cUzbS%2Bk%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","Regulus","DX","14+","2961","2997","98.7988%","5","ＹＯＳＨＩ☆ＮＸ","2026/02/19 14:33","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=e9e7120d232e9ea24ac96e3a47f1016c0782334d1220a5c1d52c5624723d239aa1c05fe8e4d5f3d29e3f982ca942cbfb6841a4c3fa5eba58182dc156ca258d43C7589wgIlriplv%2Fb%2BREfrmgROatUJFQOgZJMNMcOJz0%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","SILENT BLUE","STANDARD","14+","3198","3258","98.1584%","5","ＲｅＭｉＲｉＡ","2023/01/19 20:54","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=c744ff76d9b3efbed5af6a1568e79a3aad0a705ea4f7b61d0290e8129409294fd47c1205c10bb0c29769bbd1f826683b6bed572d4a5fedb856538af42bd9b2201hezWpM0cOm1DK2rqKP6fuCWkyyzCjB1ScB39usUN%2Fg%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","Sky Trails","DX","14+","3129","3156","99.1445%","5","ＲｅＭｉＲｉＡ","2026/02/09 13:35","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=b8ace8f48e696e99431999256c040a9fc3df1c349c09d571be803da8bc377e73f626706da6a524789c3aeb170a8fee2fbd3d64b0ffe3c11bb43119d3b2303c97u5XBpgwmZalS5yH35ffYOQEUoqFr3ZczEjKokS0%2Fm%2Fo%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","sølips","DX","14+","2880","2919","98.6639%","5","ＲｅＭｉＲｉＡ","2023/10/30 16:51","2026/08/24 21:15","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=5a8b3ce9788bd16a59dc357db3d8b3fa657aacc628b43773dccc914c35f14b0ca7b5551c0e6865618f835d7452e7851c06aa3dd8db47b77e72438e1268f507dczfU99MH8rj7OM4NFMaYfbIdc8fQ794VgQ6jZpJL%2FXXA%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","Straight into the lights","DX","14+","3302","3333","99.0699%","5","ＲｅＭｉＲｉＡ","2024/05/26 18:37","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=5e95556691067e959d95508c5a2739a33907cdbe448f011b2ff72b805036c9ec924d580bf5e76f2d2183b5edc3d91c40c7b2035ab75a9d1d49b9df733346a29bgekd2%2B%2B5N4y6DN1LbFnxV3GBEjJ%2FzQkIHIUmUMRwhaE%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","TEmPTaTiON","DX","14+","3301","3345","98.6846%","5","ＲｅＭｉＲｉＡ","2024/07/23 20:11","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=1f13b680c76abec74219df1eb9bf501dd7e470b15fa6c98f516fb0451ce9feed53e51997561e9a25d8dd561ce0c2ce86588f99a1b6b4c5693214876108ec5e92nw5M66bTc1SJMHFnNlfU5fMhN2hplrqZoCQaFH5fCjk%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","the EmpErroR","STANDARD","14+","3133","3171","98.8016%","5","ＲｅＭｉＲｉＡ","2025/01/03 21:06","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=8e1c3c47746df694b77ed91d4234646fd45f2056920f9ad78bc8bf8b24073ea42a2a8865b77c1090cc7c458e6512b09856c31746fe2dedcfdfaca4c40312df3eFk%2BupPjXTOPK8tjSvg%2FV%2Fno8p2o7GnrLAHNkFgIAw8o%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","TiamaT:F minor","STANDARD","14+","3334","3366","99.0493%","5","ＲｅＭｉＲｉＡ","2025/06/15 19:05","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=6df73bbe15844a824f59d02405d34ecb13d4505ffa43ea53c4170d8bb1fc9c6d6a43e9630b77c5625c0a73b00e8a6b5725098c4b5408c73d1c6e5d2c949085be2CiUfGslxzc6YEhT5FnFka3p9wAUAnFZjzC6MY0%2Bs7I%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","Titania","DX","14+","3062","3093","98.9977%","5","ＲｅＭｉＲｉＡ","2026/01/18 03:12","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=1c05118850e83fd73595346cf9f0f9cd8d90dcb961c54cd79e16b9b5f030c34d854d96d0c33ec58a81a1bfae968bd222aece82f9b1ce5f9a6c933144ceb773c071Pi9BldKd9njoix%2Bf42MN%2BaLYnAJEFKwTGaqfWhsOQ%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","Valsqotch","DX","14+","3554","3582","99.2183%","5","ＲｅＭｉＲｉＡ","2024/04/27 19:04","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=f204e7607a55ab90aef97c89394bb435652b1de5f18cf57343ec512a469d233c27af5aa8d22a7eabda0af6d48c6028a7e6e86a3239380e1a5b27aefe46a6246bcb4wWo39mRDCJZEy6Be4Nv1oQG6nuF6XHRpBkx0jF1Q%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","VeRForTe αRtE:VEiN","DX","14+","3140","3192","98.3709%","5","ＲｅＭｉＲｉＡ","2023/07/09 03:00","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=82c9add165f42cf37317b909066aa79a19e85182268c06c6c651260302ab647fa1ff43dfb7feaeb3c0bd7c8108c57b075931bd3b55f54c6095b5fff0483f0f50akinUjqTIU1XtWbbnPAosV4s7i1%2FzpZVjV8M9VE4fRY%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","VERTeX","STANDARD","14+","2638","2664","99.0240%","5","ＲｅＭｉＲｉＡ","2024/07/19 11:32","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=8fef02bd7977d8c29dc814de6dab14c03a0aa4f0cec2d5e799eb89894a416e2c24458a63e47600c58ef4ae92cebd70358a990e50e439fd3ce2893b11c0643441EVPhhw0iuoL19FR3WCHjrUOx%2Bs6FblYfTOIeca3itzM%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","VERTeX (rintaro soma deconstructed remix)","DX","14+","2782","2808","99.0741%","5","ＲｅＭｉＲｉＡ","2024/02/23 18:25","2026/08/24 21:13","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=fb283238581a786f40ce857dde9d4ca9e875d298ee81bbd5d7b2a14408f0b0c383fd14729375186c5f8ab5962afb0bf47da3c815c8ad8d536615e74edf00f4cecpUMPa6LddEHEyCMd4kn5Jq7rYior5TkUrw59slFqDA%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","VIIIbit Explorer","DX","14+","2960","2997","98.7654%","5","ＲｅＭｉＲｉＡ","2024/12/13 19:54","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=4a1bc4893115e2fc620bf54029b84df8b92543a666f626f86192e9cae0d52d523a39370208b3878a123efebb854ce075165ee064231dbe8503c29e4a9d50aa66RGHM0qLetc7i5Rse%2BhZSwKuPbuiHWJpewaLcbzj8wog%3D&scoreType=1&rankingType=99&diff=3",""
